=== QUALIFYING ===
1,Bitencourt JOTAPE,Ferrari,01:31.430
2,Filipe SALOMAO,RB,01:31.857
3,Medeiros WILGNER,Alpine,01:32.125
4,Fernandes BRUNO,McLaren,01:32.236
5,Augusto BRUNINHO,Red Bull,01:32.350
6,Lukas YANN,McLaren,01:32.457
7,Luiz THORWK,Ferrari,01:32.687
8,Sales GIOVANNY,Alpine,01:32.739
9,Junior WISNER,Haas,01:32.902
10,William SATOSHI,Mercedes,01:33.107
11,Luca SANDALO,Aston Martin,01:33.175
12,Carvalho DANILO,Williams,01:33.894
13,JP LOTT,RB,01:34.021
14,Alex CAMEL,Aston Martin,No time
15,Jesper GRONK,Red Bull,No time
16,Marcelo DARKSIDE,Mercedes,No time

=== RACE ===
1,Bitencourt JOTAPE,Ferrari,01:35.226,0
2,Medeiros WILGNER,Alpine,01:35.621,1
3,Filipe SALOMAO,RB,01:35.643,1
4,Fernandes BRUNO,McLaren,01:36.147,0
5,Augusto BRUNINHO,Red Bull,01:36.145,0
6,Lukas YANN,McLaren,01:36.176,1
7,Luiz THORWK,Ferrari,01:35.590,1
8,Sales GIOVANNY,Alpine,01:36.222,0
9,Jesper GRONK,Red Bull,01:35.700,0
10,Alex CAMEL,Aston Martin,01:36.031,1
11,Luca SANDALO,Aston Martin,01:36.723,1
12,JP LOTT,RB,01:36.682,0
13,William SATOSHI,Mercedes,01:35.749,1
14,Carvalho DANILO,Williams,01:37.008,1
15,Junior WISNER,Haas,01:37.240,0
16,Marcelo DARKSIDE,Mercedes,01:36.557,1
